id,age,experience_years,education_level,hours_per_week,annual_income,credit_score,will_purchase
75,68,48,HighSchool,38,67863,640,1
76,39,20,Bachelors,39,57286,696,1
77,19,1,Bachelors,50,16560,572,0
78,47,23,Bachelors,44,49588,651,0
79,59,41,HighSchool,47,88568,773,1
80,62,37,HighSchool,55,81046,785,1
81,47,27,PhD,53,88421,642,1
82,66,41,PhD,55,77372,663,1
83,48,23,Masters,35,64568,602,1
84,67,42,Bachelors,37,59453,690,1
85,33,11,Masters,40,50011,632,1
86,27,6,PhD,29,34422,625,0
87,44,21,PhD,46,85230,700,1
88,42,24,PhD,50,77757,652,1
89,66,42,PhD,54,86305,562,0
90,56,35,PhD,34,69716,729,1
91,42,19,PhD,30,69934,517,0
92,57,39,PhD,57,80667,643,1
93,59,35,Bachelors,49,81543,699,1
94,38,17,PhD,40,36271,772,0
95,35,11,Masters,25,16191,671,0
96,21,0,Bachelors,24,31448,550,0
97,66,48,Bachelors,32,98315,567,0
98,33,13,PhD,27,34019,630,0
99,62,40,Masters,30,46606,538,0
100,63,44,Bachelors,39,87162,660,1
101,37,13,PhD,32,65606,699,1
102,58,37,HighSchool,39,88072,573,0
103,25,7,Masters,54,31603,679,0
104,50,27,HighSchool,46,69309,620,1
105,41,16,Bachelors,47,61455,726,1
106,59,37,PhD,49,56755,694,1
107,35,12,Bachelors,25,38931,725,0
108,66,41,PhD,41,110292,674,1
109,29,4,Bachelors,42,41450,589,0
110,56,34,HighSchool,53,82711,640,1
111,64,40,PhD,55,85678,542,0
112,59,34,PhD,21,75953,677,1
113,62,41,Masters,57,73346,715,1
114,40,16,Masters,42,48319,596,0
115,34,13,HighSchool,32,35303,755,0
116,66,46,Bachelors,33,84236,593,0
117,55,33,HighSchool,32,65133,713,1
118,37,19,Bachelors,37,58719,656,1
119,36,16,PhD,26,60657,584,0
120,48,23,PhD,41,61852,670,1
121,48,29,HighSchool,45,48649,654,0
122,61,43,Bachelors,29,94020,491,0
123,23,2,HighSchool,55,40756,554,0
124,68,47,PhD,48,101376,618,1
125,55,31,Masters,56,59093,583,0
126,65,46,Bachelors,60,98544,749,1
127,28,7,Bachelors,55,45878,652,0
128,46,21,Masters,22,54529,758,1
129,62,37,HighSchool,34,98051,593,0
130,58,37,PhD,27,51678,622,1
131,35,15,HighSchool,23,51382,701,1
132,65,43,PhD,27,67173,661,1
133,43,21,PhD,48,63343,659,1
134,45,22,Masters,21,84905,747,1
135,54,36,Masters,56,104403,679,1
136,48,23,Masters,31,72947,648,1
137,70,45,HighSchool,50,81201,701,1
138,60,41,Bachelors,41,66589,693,1
139,60,36,HighSchool,49,87634,678,1
140,25,1,HighSchool,54,32534,655,0
141,51,28,PhD,60,67036,658,1
142,35,15,Masters,48,65054,595,0
143,19,0,Bachelors,39,13646,622,0
144,23,2,HighSchool,49,57579,616,1
145,27,2,Masters,52,33701,580,0
146,48,23,Bachelors,49,48303,628,0
147,56,36,HighSchool,37,78481,513,0
148,39,17,HighSchool,38,47513,518,0
149,55,30,Bachelors,48,57001,634,1
150,53,29,PhD,40,95589,506,0
151,33,9,Bachelors,46,68460,681,1
152,63,39,PhD,29,71381,650,1
153,50,27,HighSchool,48,93493,740,1
154,18,0,PhD,29,52023,705,1
155,34,11,PhD,25,58207,540,0
156,52,28,Masters,60,66655,534,0
157,52,34,HighSchool,35,48348,534,0
158,32,13,PhD,26,44923,541,0
159,24,0,Bachelors,39,35481,637,0
160,68,50,Masters,42,86656,677,1
161,51,27,Bachelors,30,70730,735,1
162,42,21,PhD,57,72678,710,1
163,34,9,Masters,20,50310,603,1
164,36,16,HighSchool,48,95461,579,0
165,37,13,Masters,49,55935,611,1
166,42,17,HighSchool,35,40505,694,0
167,36,14,HighSchool,45,47330,739,0
168,61,43,PhD,38,84746,600,0
169,69,46,Bachelors,60,97385,699,1
170,66,46,HighSchool,60,85382,602,1
171,46,28,Masters,28,72586,681,1
172,65,41,Bachelors,32,91399,714,1
173,41,19,Bachelors,36,84507,563,0
174,69,47,Masters,27,78681,655,1
175,66,45,PhD,55,72859,742,1
176,18,0,HighSchool,49,17788,735,0
177,34,10,Masters,26,32094,579,0
178,57,34,Bachelors,24,56949,591,0
179,62,40,PhD,27,99259,780,1
180,37,12,HighSchool,26,43976,736,0
181,42,17,Masters,54,35020,706,0
182,27,3,HighSchool,51,12380,539,0
183,35,17,Masters,33,15818,709,0
184,41,22,Masters,54,80195,591,0
185,21,0,Masters,32,65468,616,1
186,70,45,HighSchool,33,71174,576,0
187,19,1,Masters,35,58014,641,1
188,31,12,Bachelors,57,57929,788,1
189,39,19,HighSchool,37,59180,619,1
190,26,4,Bachelors,27,31082,636,0
191,18,0,Bachelors,57,32950,688,0
192,21,1,PhD,53,41207,666,0
193,46,23,HighSchool,48,25835,645,0
194,20,0,PhD,21,42192,679,0
195,43,19,HighSchool,51,54298,576,0
196,23,0,Bachelors,24,41930,719,0
197,55,32,PhD,58,59608,635,1
198,56,32,HighSchool,27,79598,568,0
199,67,46,PhD,48,101426,603,1
200,70,45,PhD,46,86141,589,0
201,38,16,Masters,29,41323,576,0
202,23,4,HighSchool,47,59091,715,1
203,69,49,HighSchool,57,114454,625,1
204,60,41,PhD,42,106822,531,0
205,45,27,Masters,58,67117,680,1
206,50,29,Bachelors,50,70956,683,1
207,53,30,HighSchool,37,42779,592,0
208,53,35,Masters,21,78192,748,1
209,37,14,Masters,20,46284,685,0
210,60,36,HighSchool,29,69627,463,0
211,23,2,PhD,46,27790,661,0
212,37,14,HighSchool,23,57753,747,1
213,21,2,Masters,48,27710,581,0
214,46,22,Masters,33,56528,615,1
215,45,26,Masters,57,46129,658,0
216,20,0,PhD,58,46949,665,0
217,31,11,Masters,38,43719,657,0
218,65,41,Bachelors,28,60524,724,1
219,50,27,HighSchool,45,68748,634,1
220,19,0,HighSchool,40,14597,608,0
221,63,39,Masters,27,42604,752,0
222,28,3,Masters,25,24557,662,0
223,45,21,HighSchool,45,75754,565,0
224,32,9,Bachelors,24,30634,647,0
225,50,29,Masters,42,63471,521,0
226,70,50,Bachelors,26,93823,686,1
227,56,36,HighSchool,31,92613,620,1
228,47,22,Masters,60,57881,718,1
229,48,23,Masters,37,46970,614,0
230,22,0,PhD,48,48388,665,0
231,36,17,HighSchool,59,45829,611,0
232,55,37,PhD,56,73558,599,0
233,48,28,HighSchool,48,93570,740,1
234,39,20,Bachelors,22,50828,725,1
235,46,26,Masters,43,77019,615,1
236,67,44,HighSchool,60,87468,629,1
237,24,0,Masters,36,27197,549,0
238,56,36,Masters,25,63510,630,1
239,40,18,PhD,28,20748,557,0
240,37,13,Masters,28,30437,534,0
241,65,46,PhD,52,81600,700,1
242,29,8,Masters,51,69587,850,1
243,27,8,Masters,26,18734,645,0
244,65,47,Masters,59,104014,699,1
245,28,8,Bachelors,48,57743,668,1
246,64,43,PhD,59,83874,763,1
247,46,25,Bachelors,39,87363,623,1
248,30,7,PhD,49,46271,529,0
249,50,26,Bachelors,32,63391,613,1
250,34,16,PhD,43,45526,639,0
251,51,32,Masters,25,66885,594,0
252,50,30,PhD,25,73532,633,1
253,46,23,HighSchool,46,78129,677,1
254,33,9,HighSchool,43,45793,710,0
255,24,1,Bachelors,28,62133,687,1
256,48,28,PhD,48,43587,549,0
257,19,0,Bachelors,29,5649,615,0
258,51,27,HighSchool,38,64393,685,1
259,33,9,PhD,24,62973,747,1
260,56,38,Bachelors,29,74084,653,1
261,40,19,PhD,31,48847,624,0
262,41,22,HighSchool,44,62731,635,1
263,42,19,Masters,21,45603,670,0
264,33,14,Masters,28,63324,674,1
265,70,50,PhD,50,76460,555,0
266,22,0,HighSchool,38,39350,768,0
267,20,0,Masters,52,13474,726,0
268,48,26,HighSchool,32,54082,785,1
269,21,0,Masters,27,33004,578,0
270,43,18,PhD,41,71225,636,1
271,49,26,Masters,25,57827,621,1
272,56,36,Masters,40,85888,687,1
273,36,14,PhD,58,52372,608,1
274,46,23,PhD,22,49403,497,0
275,57,33,Masters,60,113776,628,1
276,22,0,Masters,52,42739,549,0
277,19,0,PhD,22,34322,686,0
278,59,36,Masters,44,80056,644,1
279,27,2,Masters,43,29668,659,0
280,26,3,PhD,40,28892,607,0
281,25,7,Bachelors,51,10715,632,0
282,25,3,Masters,48,42556,743,0
283,62,37,Bachelors,27,76370,670,1
284,29,4,HighSchool,40,25157,554,0
285,53,31,Masters,30,58036,494,0
286,58,38,Masters,52,88212,850,1
287,68,48,Bachelors,51,111702,664,1
288,41,16,Bachelors,59,61032,632,1
289,43,18,PhD,46,58010,625,1
290,38,19,PhD,49,51638,591,0
291,67,47,Bachelors,47,60306,647,1
292,25,5,Masters,30,53411,789,1
293,32,9,Masters,25,38218,749,0
294,53,31,Bachelors,60,69164,731,1
295,50,30,Bachelors,30,52003,556,0
296,56,33,HighSchool,21,97784,733,1
297,67,45,Bachelors,56,72261,700,1
298,49,27,Masters,50,68275,776,1
299,43,21,PhD,24,49089,611,0
300,44,19,PhD,33,48215,682,0
301,63,40,Masters,45,91329,699,1
302,53,34,Masters,35,59726,661,1
303,33,13,HighSchool,23,38807,716,0
304,57,33,Bachelors,30,82172,499,0
305,64,41,Bachelors,30,60163,650,1
306,49,27,PhD,21,71357,687,1
307,47,26,Bachelors,57,65389,667,1
308,49,24,Masters,54,72144,651,1
309,26,4,Masters,45,28197,702,0
310,54,33,Masters,55,72539,717,1
311,46,24,HighSchool,28,72027,639,1
312,68,45,Masters,29,88330,729,1
313,50,32,HighSchool,22,73797,697,1
314,48,23,Bachelors,58,71444,626,1
315,57,34,Bachelors,45,98854,643,1
316,37,14,PhD,56,45109,772,0
317,41,18,HighSchool,46,32241,587,0
318,64,46,PhD,36,111657,624,1
319,67,46,HighSchool,57,74154,660,1
320,64,40,Bachelors,35,114283,683,1
321,25,4,HighSchool,48,35851,686,0
322,62,41,PhD,52,90074,494,0
323,65,47,Bachelors,53,95822,709,1
324,60,35,PhD,40,90030,629,1
325,52,29,Masters,36,58050,620,1
326,33,11,Masters,34,83148,578,0
327,67,45,Bachelors,51,83619,709,1
328,68,46,Masters,27,66488,610,1
329,43,20,Bachelors,38,91499,695,1
330,23,0,PhD,36,30625,601,0
331,70,48,Masters,28,105070,722,1
332,33,12,HighSchool,53,51962,700,1
333,24,0,Masters,50,55777,720,1
334,18,0,PhD,50,25094,656,0
335,36,13,Masters,23,47937,633,0
336,54,33,HighSchool,31,44022,715,0
337,20,0,PhD,31,64677,580,0
338,36,18,HighSchool,39,46794,636,0
339,39,17,PhD,54,25498,627,0
340,26,1,Masters,32,35654,591,0
341,64,39,Masters,31,89648,655,1
342,36,15,Bachelors,59,75485,532,0
343,70,46,Masters,25,77245,668,1
344,26,1,Masters,35,46441,652,0
345,46,24,Masters,39,43502,604,0
346,34,11,Bachelors,23,31808,581,0
347,28,4,Masters,27,9955,522,0
348,41,20,Bachelors,28,36028,660,0
349,56,33,PhD,55,97648,588,0
350,69,48,Bachelors,58,99332,629,1
351,46,23,HighSchool,56,85862,735,1
352,50,29,Bachelors,30,55229,724,1
353,25,4,PhD,25,45411,604,0
354,21,0,Bachelors,52,18939,695,0
355,53,28,Masters,21,37975,728,0
356,65,44,HighSchool,22,58736,700,1
357,52,34,HighSchool,50,90876,664,1
358,67,47,PhD,43,104013,646,1
359,42,18,HighSchool,54,77761,753,1
360,25,5,PhD,53,70895,789,1
361,18,0,Masters,49,26002,572,0
362,52,28,Bachelors,35,55655,659,1
363,30,11,HighSchool,46,20588,541,0
364,19,0,Bachelors,24,30358,660,0
365,56,38,Bachelors,22,63241,679,1
366,31,13,Bachelors,52,62147,647,1
367,64,41,Masters,35,77034,686,1
368,60,39,PhD,39,75488,738,1
369,55,35,PhD,55,38344,655,0
370,59,35,Masters,46,65180,682,1
371,29,4,Bachelors,34,27627,754,0
372,69,44,HighSchool,55,76015,687,1
373,51,31,PhD,35,67278,712,1
374,23,0,Masters,25,-5,620,0
375,21,0,PhD,58,13050,564,0
376,30,9,PhD,33,49907,603,0
377,18,0,Bachelors,27,27607,532,0
378,33,12,PhD,35,20347,611,0
379,42,17,Masters,39,50794,733,1
380,49,24,HighSchool,50,64762,588,0
381,31,8,Masters,46,72140,689,1
382,65,45,HighSchool,36,66036,619,1
383,64,40,Masters,29,80297,697,1
384,54,33,PhD,55,63240,562,0
385,34,9,PhD,49,58623,758,1
386,28,8,PhD,31,55150,606,1
387,59,41,HighSchool,24,97373,614,1
388,66,48,PhD,28,91977,607,1
389,63,43,HighSchool,33,67010,647,1
390,57,32,PhD,21,83682,653,1
391,18,0,Masters,54,38961,648,0
392,70,46,Bachelors,26,98915,607,1
393,33,12,Masters,42,45361,719,0
394,41,17,PhD,56,58189,758,1
395,37,18,HighSchool,25,37012,688,0
396,48,30,HighSchool,30,90157,717,1
397,59,36,HighSchool,53,88570,625,1
398,62,37,Masters,22,91243,601,1
399,35,17,Bachelors,40,62571,654,1
400,27,3,HighSchool,39,41116,694,0
401,42,19,PhD,28,56973,546,0
402,23,0,HighSchool,26,1357,701,0
403,39,15,Masters,21,26837,558,0
404,46,21,Bachelors,42,44046,627,0
405,29,5,HighSchool,59,40525,700,0
406,22,3,Masters,29,13160,733,0
407,27,3,Masters,43,37700,654,0
408,37,12,Masters,37,50633,667,1
409,45,20,PhD,26,65629,660,1
410,23,0,PhD,20,22137,716,0
411,23,2,Bachelors,44,41352,698,0
412,35,10,Bachelors,24,45191,698,0
413,37,12,HighSchool,43,47179,702,0
414,58,33,Bachelors,49,84305,687,1
415,43,20,PhD,41,41489,677,0
416,70,50,Masters,40,73569,584,0
417,48,25,Bachelors,45,75711,638,1
418,62,37,Bachelors,40,56739,740,1
419,43,20,HighSchool,56,76786,850,1
420,29,11,PhD,33,31570,671,0
421,62,43,PhD,51,95071,695,1
422,34,14,PhD,44,91014,745,1
423,48,24,PhD,54,103385,692,1
424,62,43,HighSchool,35,74395,595,0
425,59,41,PhD,41,97047,634,1
426,18,0,Masters,34,12098,644,0
427,55,34,PhD,43,53699,726,1
428,55,35,Masters,21,55820,656,1
429,23,4,Bachelors,42,31130,721,0
430,31,6,Masters,50,61825,714,1
431,46,23,HighSchool,39,82002,680,1
432,19,0,HighSchool,30,51288,600,0
433,51,31,Bachelors,41,34308,585,0
434,32,8,Bachelors,31,28765,592,0
435,19,0,PhD,57,35819,652,0
436,31,10,Masters,24,15422,591,0
437,52,32,Masters,40,72808,682,1
438,60,35,Masters,58,67941,695,1
439,25,2,Masters,49,16743,563,0
440,63,41,HighSchool,28,73317,697,1
441,25,5,Masters,29,19123,645,0
442,26,2,PhD,31,13140,657,0
443,59,39,Bachelors,51,79767,693,1
444,46,28,Masters,20,49762,654,0
445,42,17,PhD,51,30928,717,0
446,49,29,HighSchool,56,96505,672,1
447,36,18,Masters,34,42949,640,0
448,47,22,HighSchool,56,82722,729,1
449,70,47,HighSchool,48,47299,589,0
450,24,3,Masters,22,16999,670,0
451,70,51,PhD,27,91068,599,0
452,69,46,PhD,30,64602,568,0
453,70,49,HighSchool,56,88386,695,1
454,52,32,Masters,38,66905,703,1
455,50,31,Bachelors,46,111935,543,0
456,59,39,Bachelors,35,85324,699,1
457,33,9,PhD,29,29009,624,0
458,44,20,PhD,24,30568,542,0
459,23,0,Masters,43,16240,672,0
460,55,37,HighSchool,49,63747,568,0
461,22,0,Bachelors,47,42041,577,0
462,38,16,Masters,55,38593,607,0
463,49,26,HighSchool,22,79082,721,1
464,47,29,HighSchool,30,63285,650,1
465,45,24,Bachelors,39,79362,786,1
466,35,16,Masters,36,69262,701,1
467,59,39,HighSchool,45,63297,570,0
468,66,45,PhD,25,81299,646,1
469,48,29,Bachelors,57,75274,754,1
470,18,0,Masters,27,43770,644,0
471,26,1,HighSchool,34,13368,726,0
472,24,5,Masters,43,44873,624,0
473,67,47,Bachelors,24,81678,648,1
474,59,39,PhD,42,75763,553,0
475,27,3,PhD,33,39403,666,0
476,66,47,PhD,42,101689,636,1
477,26,5,Masters,25,33734,744,0
478,64,42,HighSchool,39,87763,741,1
479,30,6,Masters,23,39718,528,0
480,33,8,PhD,27,38897,749,0
481,22,4,Masters,40,56919,752,1
482,54,30,Masters,54,61794,541,0
483,67,48,HighSchool,57,105360,672,1
484,20,2,PhD,52,32616,757,0
485,67,43,PhD,45,101263,692,1
486,57,37,Masters,25,65301,727,1
487,31,11,Masters,45,24902,588,0
488,59,40,Masters,47,78452,515,0
489,21,0,HighSchool,47,49504,714,0
490,21,0,Bachelors,27,36223,653,0
491,18,0,PhD,42,6653,632,0
492,64,42,Bachelors,43,101563,737,1
493,35,16,HighSchool,41,55697,597,0
494,22,0,HighSchool,51,21683,668,0
495,49,29,Masters,30,63575,682,1
496,54,35,Bachelors,52,107270,652,1
497,18,0,HighSchool,50,12855,768,0
498,29,11,PhD,34,36614,715,0
499,64,41,Masters,24,69587,634,1
500,61,43,Bachelors,34,95979,463,0
501,43,24,PhD,38,62105,590,0
502,23,0,HighSchool,43,38793,735,0
503,37,16,PhD,43,37431,605,0
504,67,46,Bachelors,29,99297,652,1
505,32,9,HighSchool,41,65051,650,1
506,65,43,HighSchool,33,70629,640,1
507,49,31,Bachelors,37,96505,737,1
508,51,27,Masters,49,73338,645,1
509,24,4,PhD,24,27492,636,0
510,60,40,Bachelors,38,78499,710,1
511,69,45,Masters,40,75536,664,1
512,30,10,HighSchool,29,53609,697,1
513,38,14,HighSchool,54,36813,743,0
514,46,24,PhD,36,63520,625,1
515,69,47,HighSchool,33,93172,596,0
516,23,2,Masters,45,13423,641,0
517,34,14,HighSchool,45,61976,579,0
518,53,32,HighSchool,49,94475,724,1
519,25,7,HighSchool,34,57638,745,1
520,41,22,Masters,24,59025,653,1
521,59,34,Bachelors,25,91637,576,0
522,39,20,HighSchool,49,91055,699,1
523,45,21,PhD,21,39782,699,0
524,40,19,Bachelors,37,48100,792,0
525,20,0,Masters,51,19153,696,0
526,21,2,Masters,44,42110,685,0
527,69,48,HighSchool,44,93618,585,0
528,52,27,Masters,56,54327,648,1
529,29,11,Masters,58,56769,796,1
530,67,45,HighSchool,50,63839,628,1
531,32,12,HighSchool,35,38376,604,0
532,70,52,Bachelors,56,114474,547,0
533,40,20,Bachelors,35,31789,580,0
534,62,39,HighSchool,42,97677,620,1
535,54,33,PhD,54,69484,725,1
536,23,5,Bachelors,58,46971,733,0
537,18,0,Bachelors,28,23338,686,0
538,69,46,HighSchool,21,95541,737,1
539,27,8,Masters,24,11719,769,0
540,43,24,Masters,39,42466,821,0
541,64,40,PhD,40,98104,813,1
542,62,39,Bachelors,57,89662,587,0
543,64,42,Bachelors,31,74850,480,0
544,54,30,HighSchool,31,38256,555,0
545,57,36,HighSchool,51,94236,739,1
546,33,10,Masters,30,15735,514,0
547,70,47,PhD,20,81315,702,1
548,22,0,Masters,26,26929,628,0
549,46,22,Bachelors,46,45578,652,0
550,52,28,HighSchool,50,73348,560,0
551,66,45,Bachelors,48,114347,710,1
552,36,18,Masters,36,58020,641,1
553,28,4,Bachelors,24,1331,606,0
554,23,0,PhD,21,6459,692,0
555,56,32,Bachelors,23,73484,678,1
556,30,6,Masters,38,36623,680,0
557,43,18,Bachelors,23,38336,706,0
558,36,11,Bachelors,26,50061,656,1
559,36,17,PhD,27,43087,715,0
560,49,27,HighSchool,54,57614,693,1
561,42,19,Bachelors,48,72716,670,1
562,34,13,Masters,56,75601,694,1
563,60,41,HighSchool,42,87343,582,0
564,66,45,HighSchool,44,93709,583,0
565,52,27,Bachelors,50,62857,716,1
566,63,45,Bachelors,27,97652,626,1
567,28,7,Bachelors,28,42643,657,0
568,61,37,Bachelors,60,94471,725,1
569,38,19,HighSchool,44,38169,619,0
570,35,10,HighSchool,59,27393,586,0
571,25,1,Bachelors,29,11780,612,0
572,24,5,HighSchool,38,58190,543,0
573,44,22,PhD,51,46430,615,0
574,29,7,PhD,29,20404,578,0
575,43,25,PhD,41,60558,629,1
576,48,26,Masters,21,43523,755,0
577,37,15,PhD,26,56429,641,1
578,37,12,Masters,37,42784,555,0
579,23,2,PhD,33,45425,612,0
580,49,26,HighSchool,52,68224,625,1
581,63,39,Bachelors,53,85339,638,1
582,30,9,HighSchool,35,46027,654,0
583,41,20,Masters,43,64828,575,0
584,58,39,HighSchool,35,63286,717,1
585,29,4,Masters,42,53848,777,1
586,65,46,Masters,21,74732,677,1
587,54,33,Bachelors,34,64588,600,0
588,44,26,HighSchool,50,84595,596,0
589,56,38,Bachelors,36,48498,544,0
590,63,41,PhD,44,92306,587,0
591,31,6,Masters,53,49892,587,0
592,24,6,Masters,55,31340,573,0
593,37,18,PhD,24,42573,698,0
594,38,16,Masters,39,57737,728,1
595,33,15,PhD,40,39894,548,0
596,59,34,Masters,36,84336,610,1
597,65,47,Bachelors,41,87138,600,0
598,52,27,Masters,52,65159,690,1
599,60,40,Masters,26,51561,671,1
600,64,44,Masters,25,82149,699,1
601,37,13,Masters,43,47670,708,0
602,25,0,HighSchool,60,6808,565,0
603,22,0,Bachelors,52,52140,722,1
604,51,29,PhD,23,67603,620,1
605,30,7,PhD,56,79654,521,0
606,27,4,Bachelors,25,11182,657,0
607,29,6,HighSchool,20,23380,664,0
608,67,47,Bachelors,51,97425,531,0
609,26,2,PhD,45,20482,684,0
610,18,0,Bachelors,43,63002,604,1
611,66,45,HighSchool,20,72062,612,1
612,62,39,Masters,28,89377,699,1
613,37,17,HighSchool,22,43291,705,0
614,64,41,PhD,28,59834,775,1
615,40,19,Bachelors,45,66914,655,1
616,26,5,HighSchool,57,35412,648,0
617,63,45,PhD,60,91325,736,1
618,21,3,HighSchool,21,37002,660,0
619,46,22,HighSchool,55,62498,758,1
620,31,13,Masters,46,37749,562,0
621,35,15,PhD,26,25053,642,0
622,36,17,HighSchool,51,58875,694,1
623,34,13,Masters,46,48204,669,0
624,49,28,PhD,41,66133,661,1
625,23,4,PhD,29,58279,611,1
626,22,3,Masters,34,-5956,701,0
627,34,9,HighSchool,26,50407,518,0
628,36,13,Masters,47,49217,618,0
629,66,48,HighSchool,28,81249,613,1
630,40,15,Masters,25,35929,696,0
631,25,1,PhD,49,33874,718,0
632,48,24,Bachelors,27,73152,733,1
633,28,9,PhD,57,28555,659,0
634,46,26,PhD,42,40936,560,0
635,64,44,PhD,51,99813,696,1
636,20,1,Masters,40,63314,660,1
637,51,30,Masters,53,48849,634,0
638,24,0,Bachelors,50,22249,736,0
639,42,22,HighSchool,20,46958,617,0
640,48,23,Bachelors,24,54918,588,0
641,39,17,HighSchool,52,59675,749,1
642,43,22,HighSchool,49,42721,681,0
643,23,0,PhD,40,44923,705,0
644,59,41,HighSchool,45,66386,696,1
645,18,0,Masters,52,15384,611,0
646,47,24,Masters,23,67454,526,0
647,39,14,Masters,48,70292,727,1
648,32,14,Masters,42,68041,491,0
649,36,13,HighSchool,22,56128,600,0
650,70,46,HighSchool,36,78584,621,1
651,43,22,PhD,32,54516,617,1
652,44,26,HighSchool,48,46301,674,0
653,50,30,PhD,20,57352,645,1
654,45,20,Bachelors,57,73822,764,1
655,24,0,Masters,52,47082,600,0
656,56,35,Masters,45,114279,607,1
657,46,26,Bachelors,46,39982,562,0
658,50,28,Masters,55,63343,615,1
659,57,35,Masters,28,91988,638,1
660,29,6,HighSchool,42,21465,614,0
661,60,36,Masters,47,83835,570,0
662,19,0,Bachelors,23,22087,608,0
663,66,46,Masters,36,89252,669,1
664,68,46,Bachelors,54,118348,675,1
665,24,3,PhD,35,7382,641,0
666,62,40,HighSchool,44,52609,763,1
667,61,38,HighSchool,20,71198,602,1
668,67,42,Bachelors,60,82307,552,0
669,66,45,Bachelors,38,44640,713,0
670,22,2,Bachelors,52,41161,663,0
671,35,13,Bachelors,30,34655,622,0
672,39,14,Bachelors,22,50930,700,1
673,21,0,PhD,56,31251,641,0
674,63,40,Bachelors,31,51170,634,1
675,28,4,PhD,25,14115,767,0
676,60,37,Masters,43,67362,815,1
677,57,32,HighSchool,27,58555,583,0
678,59,38,HighSchool,40,57939,734,1
679,25,1,Masters,54,36853,634,0
680,51,28,PhD,51,99760,690,1
681,30,7,HighSchool,26,54815,802,1
682,52,34,HighSchool,33,58292,544,0
683,61,37,HighSchool,33,51589,624,1
684,65,41,HighSchool,29,101464,666,1
685,20,1,HighSchool,23,33095,697,0
686,22,1,Masters,46,18865,713,0
687,45,22,HighSchool,44,50998,573,0
688,59,40,HighSchool,24,64094,714,1
689,36,14,HighSchool,38,49742,575,0
690,43,25,PhD,30,51056,642,1
691,43,21,Bachelors,39,42236,510,0
692,68,45,HighSchool,55,96347,622,1
693,20,2,PhD,54,32552,641,0
694,31,8,Bachelors,46,67692,573,0
695,27,7,Bachelors,34,30101,614,0
696,25,5,HighSchool,55,24111,671,0
697,36,17,Masters,26,54614,737,1
